date,high_price,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2020-03-01,8776.71,8443.57,8545.45,25550.31,219324311.08,8549.38,direct,
2020-03-02,8983.78,8521.79,8549.38,33004.6,290280969.41,8919.74,direct,
2020-03-03,8940.69,8680.57,8919.74,28648.83,252211805.89,8765.68,direct,
2020-03-04,8863.91,8690.82,8765.68,22115.34,194233894.05,8773.78,direct,
2020-03-05,9179.74,8772.83,8773.78,33760.74,305196274.33,9074.82,direct,
2020-03-06,9183.26,9015.35,9074.82,21090.1,192168163.64,9160.39,direct,
2020-03-07,9225.42,8880.33,9160.39,20669.17,187063951.77,8903.72,direct,
2020-03-08,8920.28,8033.06,8903.72,63231.33,533371350.28,8057.67,direct,
2020-03-09,8200.82,7664.34,8057.67,86700.45,682781069.24,7944.4,direct,
2020-03-10,8165.09,7758.12,7944.4,53646.28,427332546.47,7894.66,direct,
2020-03-11,7998.79,7614.48,7894.66,47596.23,372704355.27,7945.36,direct,
2020-03-12,7984.16,4736.21,7945.36,286243.45,1769476928.68,4916.78,direct,
2020-03-13,5984.55,3948.92,4916.78,319316.54,1663092005.9,5632.58,direct,
2020-03-14,5665.57,5069.29,5632.58,87978.27,474539626.45,5181.77,direct,
2020-03-15,5961.78,5114.06,5181.77,105160.64,568696762.62,5357.02,direct,
2020-03-16,5364.93,4454.22,5357.02,203116.86,996661883.31,5045.0,direct,
2020-03-17,5561.43,4950.9,5045.0,116314.49,618671971.75,5337.66,direct,
2020-03-18,5451.02,5024.71,5337.66,109210.96,576456805.62,5413.06,direct,
2020-03-19,6418.99,5268.33,5413.06,147007.71,868668216.67,6184.88,direct,
2020-03-20,6932.04,5691.69,6184.88,148232.44,947038097.64,6206.44,direct,
2020-03-21,6459.65,5876.79,6206.44,67262.29,415771088.67,6195.43,direct,
2020-03-22,6415.14,5750.68,6195.43,75451.24,457211401.95,5828.15,direct,
2020-03-23,6614.56,5703.64,5828.15,107692.99,667919370.22,6503.53,direct,
2020-03-24,6857.49,6406.64,6503.53,105151.69,700444488.16,6767.18,direct,
2020-03-25,6980.29,6483.0,6767.18,84721.04,566264216.07,6694.21,direct,
2020-03-26,6796.12,6539.61,6694.21,45203.7,302121295.09,6757.95,direct,
2020-03-27,6876.97,6312.53,6757.95,57134.12,381303011.52,6382.8,direct,
2020-03-28,6384.56,6051.23,6382.8,60814.06,378476570.98,6252.49,direct,
2020-03-29,6286.96,5882.2,6252.49,47232.21,286789900.17,5882.2,direct,
2020-03-30,6616.94,5874.8,5882.2,70623.69,445848282.11,6403.31,direct,
2020-03-31,6531.66,6350.61,6403.31,36169.65,233613490.19,6423.61,direct,
2020-04-01,6716.04,6168.0,6423.61,59228.61,377164250.74,6663.63,direct,
2020-04-02,7245.15,6585.75,6663.63,93059.32,635319847.54,6804.42,direct,
2020-04-03,7044.01,6618.82,6804.42,55578.32,379639119.54,6743.68,direct,
2020-04-04,7010.45,6671.05,6743.68,33774.99,230044243.33,6875.95,direct,
2020-04-05,6910.39,6689.07,6875.95,26776.41,182019861.58,6781.64,direct,
2020-04-06,7359.05,6779.91,6781.64,78676.82,560075869.57,7347.22,direct,
2020-04-07,7462.51,7084.52,7347.22,70648.16,516422836.71,7201.57,direct,
2020-04-08,7425.85,7157.96,7201.57,60952.77,445330043.76,7367.37,direct,
2020-04-09,7374.01,7124.88,7367.37,44071.93,321287689.9,7294.55,direct,
2020-04-10,7304.8,6757.67,7294.55,63355.47,440132415.16,6876.49,direct,
2020-04-11,6956.27,6785.52,6876.49,24917.32,171352839.69,6887.6,direct,
2020-04-12,7199.97,6802.16,6887.6,42382.58,297514761.29,6913.76,direct,
2020-04-13,6913.76,6612.34,6913.76,63091.4,426458894.19,6859.43,direct,
2020-04-14,6986.75,6773.97,6859.43,44630.96,307409556.74,6879.44,direct,
2020-04-15,6937.49,6614.79,6879.44,49708.81,336722796.75,6629.54,direct,
2020-04-16,7207.11,6487.08,6629.54,98809.08,685621725.46,7114.55,direct,
2020-04-17,7155.17,7005.79,7114.55,45840.75,324325510.78,7037.12,direct,
2020-04-18,7304.35,7028.43,7037.12,35919.74,258251102.86,7264.29,direct,
2020-04-19,7276.84,7072.33,7264.29,29493.83,211422409.66,7132.88,direct,
2020-04-20,7225.23,6770.07,7132.88,64707.0,452319848.99,6842.45,direct,
2020-04-21,6948.78,6779.51,6842.45,44531.91,305844254.34,6855.11,direct,
2020-04-22,7165.43,6831.44,6855.11,43780.72,308254465.67,7135.41,direct,
2020-04-23,7731.56,7041.2,7135.41,81106.87,599195847.97,7489.25,direct,
2020-04-24,7607.28,7408.35,7489.25,51734.5,389027134.45,7509.44,direct,
2020-04-25,7708.4,7445.98,7509.44,30165.48,227962632.37,7546.92,direct,
2020-04-26,7705.3,7497.88,7546.92,33092.14,251857766.26,7701.35,direct,
2020-04-27,7790.33,7639.98,7701.35,48551.15,374439201.77,7787.41,direct,
2020-04-28,7791.85,7671.26,7787.41,38507.32,297442241.62,7760.32,direct,
2020-04-29,8952.44,7733.02,7760.32,157978.19,1324299206.24,8784.96,direct,
2020-04-30,9460.77,8416.64,8784.96,161267.28,1439132256.65,8637.56,direct,
2020-05-01,9066.47,8631.39,8637.56,70407.63,620133839.66,8829.12,direct,
2020-05-02,9013.29,8768.81,8829.12,36139.66,321429140.42,8981.11,direct,
2020-05-03,9197.48,8735.78,8981.11,59476.78,534161419.79,8907.19,direct,
2020-05-04,8968.9,8537.49,8907.19,64835.52,568639005.2,8881.65,direct,
2020-05-05,9119.13,8781.58,8881.65,60185.36,538111122.64,9029.75,direct,
2020-05-06,9408.99,8924.06,9029.75,88912.83,818515486.36,9153.2,direct,
2020-05-07,10064.33,9042.52,9153.2,125991.41,1213223439.69,9999.93,direct,
2020-05-08,10041.73,9728.64,9999.93,91540.3,907665361.58,9808.18,direct,
2020-05-09,9912.22,9525.77,9808.18,59814.44,580103588.21,9541.13,direct,
2020-05-10,9556.85,8228.22,9541.13,133597.2,1159765920.88,8735.05,direct,
2020-05-11,9164.84,8228.58,8735.05,144898.27,1259789388.45,8568.88,direct,
2020-05-12,8975.74,8541.95,8568.88,66073.43,580579256.62,8821.18,direct,
2020-05-13,9407.67,8807.57,8821.18,68248.72,622255318.55,9317.44,direct,
2020-05-14,9937.97,9263.29,9317.44,97176.37,936692997.58,9793.19,direct,
2020-05-15,9841.71,9149.13,9793.19,84280.62,798930933.92,9311.69,direct,
2020-05-16,9584.9,9224.32,9311.69,37023.76,348262438.61,9387.08,direct,
2020-05-17,9885.55,9334.23,9387.08,52271.64,505834872.59,9670.56,direct,
2020-05-18,9943.74,9476.37,9670.56,62325.78,606235218.3,9722.73,direct,
2020-05-19,9890.69,9471.96,9722.73,60720.68,587660019.81,9780.2,direct,
2020-05-20,9832.94,9323.82,9780.2,61892.78,593918718.08,9509.45,direct,
2020-05-21,9566.81,8811.54,9509.45,87116.97,798218781.95,9059.11,direct,
2020-05-22,9265.04,8936.82,9059.11,44400.9,405255700.32,9170.74,direct,
2020-05-23,9311.34,9101.08,9170.74,23636.66,217819517.42,9186.19,direct,
2020-05-24,9307.11,8707.14,9186.19,45736.61,412753415.47,8718.49,direct,
2020-05-25,8977.43,8639.46,8718.49,43894.32,386241517.98,8901.48,direct,
2020-05-26,9011.53,8705.66,8901.48,39855.17,352930782.24,8844.5,direct,
2020-05-27,9222.3,8820.55,8844.5,42022.36,381475134.6,9204.62,direct,
2020-05-28,9619.34,9112.3,9204.62,56625.62,530613444.11,9579.71,direct,
2020-05-29,9601.43,9344.8,9579.71,40183.32,379875666.16,9424.62,direct,
2020-05-30,9735.73,9340.45,9424.62,24640.28,235049817.45,9699.78,direct,
2020-05-31,9703.51,9400.25,9699.78,22242.38,212143031.97,9450.47,direct,
