high_price,low,open,volumefrom,volumeto,close,conversionType
7267.16,7171.82,7183.88,11872.0,85986188.11,7189.94,direct
7224.84,6945.83,7189.94,26531.32,187393954.35,6965.72,direct
7407.11,6882.62,6965.72,51975.01,376690440.38,7339.7,direct
7405.75,7278.6,7339.7,22083.57,162106895.05,7357.5,direct
7501.42,7330.07,7357.5,24084.13,179147746.87,7359.96,direct
7799.63,7355.11,7359.96,46443.66,352286216.6,7762.69,direct
8218.63,7736.57,7762.69,75423.75,600054472.25,8160.36,direct
8458.65,7873.97,8160.36,85087.59,699004342.7,8045.15,direct
8047.11,7757.04,8045.15,40045.64,316199456.84,7817.35,direct
8192.05,7682.56,7817.35,55534.09,441131626.25,8190.31,direct
8287.42,8003.87,8190.31,30734.63,250060123.9,8024.58,direct
8185.14,7968.4,8024.58,17525.61,142197585.82,8181.49,direct
8200.4,8057.37,8181.49,22746.0,184437465.66,8106.56,direct
8874.07,8106.4,8106.56,89444.78,768098459.01,8820.95,direct
8890.04,8559.93,8820.95,50394.79,441186933.78,8813.21,direct
8846.78,8586.56,8813.21,33539.82,290989712.92,8719.63,direct
9004.35,8665.99,8719.63,48787.4,432856377.78,8894.83,direct
8974.65,8807.26,8894.83,19872.9,176837362.25,8909.28,direct
9177.39,8508.15,8909.28,47750.9,421483277.31,8702.59,direct
8737.36,8521.52,8702.59,21888.47,189247381.47,8634.03,direct
8771.75,8479.9,8634.03,22731.19,196404470.17,8724.84,direct
8793.74,8582.43,8724.84,17278.13,149906743.85,8667.26,direct
8680.93,8290.98,8667.26,38348.08,323273085.37,8394.28,direct
8517.5,8225.83,8394.28,27811.03,233502998.73,8431.78,direct
8444.32,8263.42,8431.78,14296.82,119345600.29,8345.88,direct
8605.33,8302.57,8345.88,22444.54,189985702.21,8602.37,direct
8991.01,8572.37,8602.37,37524.75,329416202.64,8898.94,direct
9407.39,8892.58,8898.94,51850.54,471220882.55,9391.97,direct
9429.16,9234.27,9391.97,36978.22,345265419.21,9286.18,direct
9561.26,9181.72,9286.18,45852.79,430815723.66,9501.38,direct
9518.87,9208.36,9501.38,31334.26,292627757.98,9342.23,direct
9455.92,9296.57,9342.23,14778.25,138614091.6,9384.45,direct
9469.84,9169.21,9384.45,24059.37,225322638.39,9334.25,direct
9605.66,9230.83,9334.25,33363.87,312315107.48,9288.96,direct
9347.12,9089.52,9288.96,26614.92,244997961.95,9171.98,direct
9750.28,9162.98,9171.98,47150.99,448381299.88,9611.42,direct
9853.08,9533.37,9611.42,42264.62,410313693.85,9755.84,direct
9866.18,9714.16,9755.84,25549.21,249852208.28,9808.36,direct
9936.26,9665.26,9808.36,24889.03,244352034.45,9898.25,direct
10162.71,9880.67,9898.25,33829.57,340301629.71,10157.78,direct
10185.09,9761.16,10157.78,40941.28,406256357.82,9858.03,direct
10370.44,9716.32,9858.03,49240.73,495614708.0,10269.43,direct
