date,high_price,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2013-03-09,46.99,43.41,44.18,44475.89,2020839.64,46.85,direct,
2013-03-10,47.95,45.47,46.85,36363.25,1703124.85,46.0,direct,
2013-03-11,48.47,45.54,46.0,41390.18,1970814.35,48.4,direct,
2013-03-12,48.4,36.65,48.4,183404.75,8014406.02,44.29,direct,
2013-03-13,47.3,43.75,44.29,49497.44,2297381.06,46.92,direct,
2013-03-14,47.99,46.05,46.92,37034.85,1752253.49,47.17,direct,
2013-03-15,47.45,46.4,47.17,20223.95,951174.39,46.95,direct,
2013-03-16,47.36,46.27,46.95,16288.51,763344.96,47.0,direct,
2013-03-17,47.74,46.8,47.0,13902.62,658983.36,47.4,direct,
2013-03-18,52.88,47.12,47.4,65199.79,3193717.3,51.6,direct,
2013-03-19,62.0,50.0,51.6,111627.22,6182806.06,59.14,direct,
2013-03-20,66.0,57.7,59.14,93128.83,5776100.55,64.49,direct,
2013-03-21,74.9,63.1,64.49,94225.81,6508438.17,70.85,direct,
2013-03-22,73.75,65.0,70.85,73168.07,5169041.03,69.87,direct,
2013-03-23,70.5,52.35,69.87,150462.18,9429342.99,64.35,direct,
2013-03-24,72.5,62.7,64.35,42006.36,2895161.77,71.93,direct,
2013-03-25,78.0,69.52,71.93,79730.06,5920116.46,73.8,direct,
2013-03-26,79.72,73.11,73.8,56654.33,4376373.47,78.5,direct,
2013-03-27,89.5,78.4,78.5,72182.81,6126022.75,88.92,direct,
2013-03-28,95.7,75.0,88.92,140226.88,12257633.95,86.78,direct,
2013-03-29,93.06,83.01,86.78,83152.75,7382080.86,90.5,direct,
2013-03-30,94.98,87.0,90.5,37270.51,3418588.27,92.19,direct,
2013-03-31,93.8,91.0,92.19,21092.38,1955242.2,93.03,direct,
2013-04-01,106.0,92.24,93.03,90527.29,9055970.0,104.0,direct,
2013-04-02,118.36,99.0,104.0,81260.8,8744282.1,117.98,direct,
2013-04-03,147.0,110.0,117.98,152624.24,19519658.71,135.0,direct,
2013-04-04,142.12,116.39,135.0,88124.78,11598387.76,132.12,direct,
2013-04-05,144.94,130.24,132.12,68557.5,9544390.16,142.32,direct,
2013-04-06,143.9,139.54,142.32,18273.09,2597665.45,142.63,direct,
2013-04-07,164.9,142.63,142.63,60947.52,9401468.33,162.3,direct,
2013-04-08,194.9,162.3,162.3,114126.51,20713163.11,187.5,direct,
2013-04-09,240.11,186.5,187.5,105724.64,22696282.53,230.0,direct,
2013-04-10,266.0,105.0,230.0,190141.86,35109363.41,165.0,direct,
2013-04-11,188.7,110.2,165.0,118645.43,18855846.81,124.9,direct,
2013-04-12,140.0,54.25,124.9,556289.1,47600783.3,117.0,direct,
2013-04-13,130.0,85.5,117.0,238226.32,26254439.22,93.0,direct,
2013-04-14,110.0,84.44,93.0,166267.46,16195892.56,90.0,direct,
2013-04-15,102.0,71.51,90.0,236632.26,20602989.31,82.39,direct,
2013-04-16,84.5,50.01,82.39,572185.69,37382133.29,68.36,direct,
2013-04-17,98.78,63.3,68.36,327596.55,27933826.14,93.07,direct,
2013-04-18,113.0,86.0,93.07,172934.67,16840477.58,109.07,direct,
2013-04-19,136.43,105.54,109.07,257118.56,30707765.35,118.5,direct,
2013-04-20,132.0,115.0,118.5,74351.51,9221372.14,127.1,direct,
2013-04-21,130.5,110.0,127.1,99128.56,12043904.1,119.2,direct,
2013-04-22,127.4,118.5,119.2,59118.35,7285334.39,127.4,direct,
2013-04-23,144.02,124.97,127.4,116098.21,15630270.39,143.48,direct,
2013-04-24,166.43,140.97,143.48,225857.24,34345816.98,154.2,direct,
2013-04-25,162.0,120.09,154.2,187632.74,26844741.74,141.71,direct,
2013-04-26,144.99,121.45,141.71,128988.67,17058551.43,136.9,direct,
2013-04-27,139.88,122.71,136.9,59870.79,7853806.49,128.0,direct,
2013-04-28,136.68,127.5,128.0,27503.11,3662548.48,134.44,direct,
2013-04-29,149.08,133.0,134.44,70186.33,9983975.08,144.0,direct,
2013-04-30,146.93,134.0,144.0,65198.58,9119200.99,139.23,direct,
