905.94,868.12,853.31,422715.28,368630733.52,872.05
881.35,853.3,871.73,465100.32,398617272.5,857.06
890.74,855.89,857.06,447097.83,382666170.06,855.89
891.25,858.34,855.89,384392.02,333345981.96,867.2
865.15,838.49,867.17,424359.91,358832100.49,845.58
819.97,789.7,845.21,482448.32,393264235.1,815.14
825.32,726.38,815.65,463880.38,354361800.99,751.13
772.51,688.84,751.13,397145.73,289838564.8,698.83
730.46,642.06,698.83,599327.0,409323870.51,726.92
747.82,678.65,726.76,283137.95,203802606.28,682.3
735.01,663.58,682.3,293925.85,206098889.64,720.36
739.87,678.13,720.37,293711.48,208107856.0,697.02
714.19,679.19,697.0,281269.14,194913670.75,689.96
703.38,586.7,689.96,512459.31,325415119.18,613.15
620.43,572.11,613.15,571770.63,342311699.48,610.56
626.13,585.16,610.66,363025.84,221082941.44,600.53
609.94,543.28,600.53,363384.63,208843294.98,549.79
559.93,454.18,549.79,1438992.5,719812876.35,537.38
559.07,515.84,537.38,775671.57,418500605.22,555.55
567.0,516.78,555.55,607853.22,331343470.55,557.57
590.2,545.48,557.57,488509.24,277714049.38,559.91
578.01,516.22,559.91,431953.84,233985932.96,539.89
543.84,506.79,539.89,432407.55,225200086.3,543.83
546.01,519.51,543.84,241529.67,129350391.02,520.16
535.77,513.63,520.17,213514.32,111462284.91,523.01
526.2,467.48,522.97,567723.19,278656813.48,486.25
491.92,446.42,486.14,712309.54,328179170.99,448.78
465.2,440.35,448.78,415739.15,187271233.18,445.93
448.5,380.35,445.93,1162700.51,472575968.96,383.9
411.17,364.99,383.96,1174101.99,450253373.58,393.82
421.05,389.99,393.83,602304.03,243062846.9,394.07
399.59,359.22,394.07,626777.44,236013242.51,378.85
394.12,375.8,378.85,406593.03,156793473.63,384.68
426.84,380.71,384.68,556809.37,223508235.85,415.93
417.11,370.66,415.93,575977.98,223170178.92,378.65
387.56,367.15,378.65,424333.64,160332018.27,381.36
385.78,363.51,381.43,360272.94,133748822.09,370.35
397.1,369.66,370.35,281003.74,108165642.16,384.98
404.22,384.98,384.98,272088.6,107956653.97,400.72
431.23,387.98,400.72,669097.01,271803047.82,399.02
418.27,391.84,399.02,320480.46,129335600.11,415.65
433.44,410.97,415.65,398311.12,167561896.24,430.42
498.08,414.03,430.39,985900.0,450834363.9,493.95
528.95,482.1,493.95,930496.63,470945268.74,494.96
514.66,487.72,494.96,381076.96,191073028.98,502.79
534.31,502.79,502.79,469221.99,243926045.87,534.15
537.48,499.17,534.16,487480.43,249996040.92,511.67
522.07,500.48,511.67,382492.24,195195626.75,503.03
526.61,501.7,503.03,347025.84,178681435.05,525.78
570.18,521.83,525.78,490680.13,267530654.45,567.25
622.14,557.98,567.25,699889.46,410498449.5,617.16
625.15,576.09,617.17,488613.74,294264369.95,605.17
644.29,591.81,605.17,433216.48,270504773.22,621.33
648.41,619.57,621.33,373097.03,238556831.22,644.13
711.64,644.06,644.13,780339.81,538337384.08,703.35
703.9,592.59,703.4,1413475.83,903686072.96,617.73
665.97,600.35,617.62,616943.15,387845424.34,661.45
686.05,640.74,661.41,486769.09,323944620.57,643.33
693.47,640.09,643.12,351860.75,238423753.67,683.02
698.95,665.28,683.02,317205.24,216606354.66,689.31
693.63,663.28,689.31,364715.76,248315675.69,670.04
674.62,628.29,670.04,544527.28,355270695.23,670.81
690.86,662.13,670.81,376872.81,255558720.87,686.74
787.57,685.92,686.74,798057.17,588164727.16,777.62
804.63,759.67,777.78,546215.76,427563922.79,784.21
827.44,780.08,784.19,389912.01,315600160.75,816.58
834.3,753.51,816.59,474447.3,374541870.07,790.39
794.86,690.91,790.39,1131598.73,828032480.2,752.4
775.38,720.36,752.39,510303.7,380893335.71,747.79
759.91,709.78,747.79,464189.13,341691727.41,751.27
767.22,722.65,751.27,383612.95,287536989.76,723.61
735.97,665.49,723.63,748412.09,518848404.01,677.8
690.88,638.47,677.8,487345.93,324590855.24,683.64
740.02,669.96,683.64,385804.48,274037817.61,729.34
741.82,685.75,729.34,632807.6,453297981.45,727.41
738.53,695.3,727.41,398394.01,287313625.77,705.64
710.26,676.6,705.64,362472.35,251185347.62,706.72
718.31,661.81,706.71,352700.81,244822300.73,668.38
694.35,657.7,668.41,352343.1,238310952.16,693.57
716.86,683.0,693.57,231151.7,161222563.27,696.05
722.71,687.86,696.05,232101.64,165135550.67,715.15
710.37,694.96,716.45,421289.2,294835584.77,699.84
698.46,638.35,696.73,427356.07,287275714.36,640.84
649.59,564.32,641.12,910256.61,549177930.28,577.01
609.0,544.19,577.01,734681.33,426679791.16,602.59
615.92,568.65,602.66,474341.89,281427114.77,584.77
607.81,578.43,584.77,247238.21,146794781.23,585.76
590.88,555.2,585.76,390537.58,223422108.46,569.64
574.52,500.81,569.64,729475.2,387811928.1,512.03
572.47,510.91,512.03,640564.29,348565933.16,566.59
585.23,542.08,566.7,454107.08,254739325.61,557.12
585.92,553.42,557.12,412555.59,236501539.67,577.23
