date,high_price,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2016-11-01,734.36,695.2,698.67,68064.91,49453950.69,726.76,direct,
2016-11-02,735.78,718.14,726.76,39043.27,28452232.03,733.51,direct,
2016-11-03,744.43,670.4,733.51,96409.44,69067917.54,684.87,direct,
2016-11-04,706.64,681.27,684.87,48235.17,33762721.43,702.08,direct,
2016-11-05,706.38,694.03,702.08,22018.95,15554565.72,702.11,direct,
2016-11-06,714.13,697.63,702.11,25809.88,18363567.63,709.91,direct,
2016-11-07,711.66,698.35,709.91,30743.71,21797370.12,705.4,direct,
2016-11-08,714.63,700.96,705.4,39732.33,28262235.71,710.9,direct,
2016-11-09,741.23,707.13,710.9,70698.2,51548567.54,721.42,direct,
2016-11-10,723.02,707.31,721.42,33327.52,23931322.76,714.57,direct,
2016-11-11,719.79,711.67,714.57,25583.38,18386841.21,714.97,direct,
2016-11-12,717.37,701.08,714.97,27601.81,19677656.63,704.27,direct,
2016-11-13,705.61,685.01,704.27,36136.74,25249834.8,701.97,direct,
2016-11-14,708.03,696.11,701.97,37752.31,26613445.03,704.56,direct,
2016-11-15,716.93,697.91,704.56,41401.17,29562740.26,711.1,direct,
2016-11-16,745.98,708.14,711.1,79569.14,58304902.39,740.28,direct,
2016-11-17,751.91,730.08,740.28,62772.48,46942756.4,737.53,direct,
2016-11-18,751.43,730.95,737.53,39708.18,29666065.54,746.96,direct,
2016-11-19,755.34,737.44,746.96,25625.82,19276573.28,747.89,direct,
2016-11-20,752.26,712.77,747.89,47423.27,34876785.19,728.51,direct,
2016-11-21,744.33,726.55,728.51,32508.2,24010681.87,736.19,direct,
2016-11-22,754.01,730.62,736.19,44441.44,33225195.21,749.34,direct,
2016-11-23,750.93,731.34,749.34,37869.33,28258203.98,741.07,direct,
2016-11-24,744.24,726.19,741.07,37239.41,27531777.52,735.31,direct,
2016-11-25,741.25,728.97,735.31,28846.87,21299510.69,740.39,direct,
2016-11-26,740.96,725.62,740.39,22578.17,16682481.58,734.14,direct,
2016-11-27,738.29,727.11,734.14,21354.15,15735824.63,729.42,direct,
2016-11-28,738.1,727.74,729.42,34117.31,25153838.93,733.3,direct,
2016-11-29,737.04,727.78,733.3,32567.83,24030304.1,732.56,direct,
2016-11-30,745.39,730.57,732.56,39277.45,29210351.41,742.49,direct,
2016-12-01,755.48,741.08,742.49,54029.19,40690942.17,752.63,direct,
2016-12-02,779.02,752.25,752.63,63217.85,48893613.64,770.94,direct,
2016-12-03,772.32,755.81,770.94,38445.54,30234128.1,764.24,direct,
2016-12-04,769.23,758.8,764.24,19163.97,14755120.48,766.39,direct,
2016-12-05,769.18,746.01,766.39,51164.97,39082688.28,754.34,direct,
2016-12-06,762.48,750.91,754.34,33430.33,25497771.6,758.21,direct,
2016-12-07,769.02,754.27,758.21,34864.8,26755412.58,765.56,direct,
2016-12-08,773.41,761.17,765.56,28780.25,22208497.22,768.49,direct,
2016-12-09,773.48,765.03,768.49,24176.98,18722048.47,770.48,direct,
2016-12-10,776.96,769.19,770.48,18017.98,14049110.07,774.0,direct,
2016-12-11,774.16,763.0,774.0,17140.02,13269086.38,767.91,direct,
2016-12-12,781.26,767.86,767.91,28759.72,22442991.37,778.47,direct,
2016-12-13,790.33,767.77,778.47,33108.65,25894856.06,778.74,direct,
2016-12-14,780.77,771.01,778.74,24782.47,19326375.41,776.5,direct,
2016-12-15,780.27,773.12,776.5,26224.24,20452116.66,775.21,direct,
2016-12-16,783.94,773.31,775.21,27607.57,21650384.64,782.05,direct,
2016-12-17,791.57,779.36,782.05,23581.31,18648778.51,787.17,direct,
2016-12-18,791.26,783.8,787.17,14532.68,11525747.48,789.01,direct,
2016-12-19,793.73,786.31,789.01,25460.54,20238681.94,789.79,direct,
2016-12-20,800.02,787.12,789.79,34480.19,27406319.09,799.1,direct,
2016-12-21,833.13,795.98,799.1,65293.55,53411082.07,829.21,direct,
2016-12-22,874.68,828.87,829.21,70557.59,60511618.45,860.15,direct,
2016-12-23,920.26,858.04,860.15,102224.08,91802931.23,917.17,direct,
2016-12-24,920.49,880.79,917.17,46030.07,41576781.41,891.07,direct,
2016-12-25,895.24,851.42,891.07,42483.29,37173377.51,891.07,direct,
2016-12-26,909.32,885.88,891.07,38787.58,35002753.4,898.38,direct,
2016-12-27,937.91,893.38,898.38,49691.61,45966615.06,925.78,direct,
2016-12-28,974.51,925.49,925.78,77285.8,73811803.99,972.17,direct,
2016-12-29,982.57,949.23,972.17,61124.62,59226667.89,971.08,direct,
2016-12-30,971.59,927.4,971.08,70839.81,67449149.3,959.04,direct,
2016-12-31,965.47,942.4,959.04,27559.31,26379401.89,963.38,direct,
2017-01-01,1001.61,956.1,963.38,41148.52,40570922.99,995.44,direct,
2017-01-02,1031.68,990.2,995.44,64951.63,66038073.34,1017.05,direct,
2017-01-03,1035.47,1006.53,1017.05,54788.01,56085870.7,1033.3,direct,
2017-01-04,1148.54,1022.32,1033.3,156272.17,170584623.04,1135.41,direct,
2017-01-05,1150.63,874.53,1135.41,240007.84,244839289.77,989.35,direct,
2017-01-06,1027.42,852.55,989.35,194290.96,179160668.84,886.16,direct,
2017-01-07,900.86,806.66,886.16,130663.09,113037531.71,888.87,direct,
2017-01-08,936.13,875.85,888.87,76905.99,70298340.37,900.86,direct,
2017-01-09,910.47,870.91,900.86,62579.5,55963281.18,899.78,direct,
2017-01-10,911.32,890.12,899.78,53709.46,48644106.82,904.37,direct,
2017-01-11,917.65,751.63,904.37,194436.54,160194109.8,785.43,direct,
2017-01-12,828.21,739.55,785.43,120241.76,93986701.88,810.11,direct,
2017-01-13,835.05,771.0,810.11,89861.97,72555875.62,824.83,direct,
2017-01-14,838.9,808.27,824.83,44207.74,36594482.0,819.63,direct,
2017-01-15,826.43,808.63,819.63,24401.41,20004735.1,821.17,direct,
2017-01-16,836.66,817.7,821.17,33222.93,27592899.17,827.34,direct,
2017-01-17,906.38,825.04,827.34,82207.99,72272727.15,899.66,direct,
2017-01-18,913.67,845.87,899.66,69258.17,61042392.11,872.03,direct,
2017-01-19,905.28,870.71,872.03,58440.87,52300814.98,895.21,direct,
2017-01-20,901.49,878.9,895.21,38865.48,34847130.33,892.91,direct,
2017-01-21,928.93,889.46,892.91,40378.21,37129176.59,919.84,direct,
2017-01-22,938.38,888.62,919.84,47927.32,44074299.79,918.84,direct,
2017-01-23,927.98,910.85,918.84,32744.43,30261054.5,921.46,direct,
2017-01-24,925.61,889.15,921.46,58874.32,53468911.31,893.75,direct,
2017-01-25,905.7,883.63,893.75,37902.18,34014866.15,894.41,direct,
2017-01-26,919.32,893.49,894.41,33800.2,30795685.98,915.56,direct,
2017-01-27,922.56,907.92,915.56,30968.49,28503144.41,918.01,direct,
2017-01-28,921.89,912.84,918.01,14307.36,13251844.02,918.51,direct,
2017-01-29,922.4,912.68,918.51,11052.31,10214368.33,914.55,direct,
2017-01-30,922.35,911.51,914.55,19062.15,17604172.47,920.73,direct,
2017-01-31,967.45,917.38,920.73,54670.21,51869216.53,965.49,direct,
