date,high_price,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2020-05-01,9066.47,8631.39,8637.56,70407.63,620133839.66,8829.12,direct,
2020-05-02,9013.29,8768.81,8829.12,36139.66,321429140.42,8981.11,direct,
2020-05-03,9197.48,8735.78,8981.11,59476.78,534161419.79,8907.19,direct,
2020-05-04,8968.9,8537.49,8907.19,64835.52,568639005.2,8881.65,direct,
2020-05-05,9119.13,8781.58,8881.65,60185.36,538111122.64,9029.75,direct,
2020-05-06,9408.99,8924.06,9029.75,88912.83,818515486.36,9153.2,direct,
2020-05-07,10064.33,9042.52,9153.2,125991.41,1213223439.69,9999.93,direct,
2020-05-08,10041.73,9728.64,9999.93,91540.3,907665361.58,9808.18,direct,
2020-05-09,9912.22,9525.77,9808.18,59814.44,580103588.21,9541.13,direct,
2020-05-10,9556.85,8228.22,9541.13,133597.2,1159765920.88,8735.05,direct,
2020-05-11,9164.84,8228.58,8735.05,144898.27,1259789388.45,8568.88,direct,
2020-05-12,8975.74,8541.95,8568.88,66073.43,580579256.62,8821.18,direct,
2020-05-13,9407.67,8807.57,8821.18,68248.72,622255318.55,9317.44,direct,
2020-05-14,9937.97,9263.29,9317.44,97176.37,936692997.58,9793.19,direct,
2020-05-15,9841.71,9149.13,9793.19,84280.62,798930933.92,9311.69,direct,
2020-05-16,9584.9,9224.32,9311.69,37023.76,348262438.61,9387.08,direct,
2020-05-17,9885.55,9334.23,9387.08,52271.64,505834872.59,9670.56,direct,
2020-05-18,9943.74,9476.37,9670.56,62325.78,606235218.3,9722.73,direct,
2020-05-19,9890.69,9471.96,9722.73,60720.68,587660019.81,9780.2,direct,
2020-05-20,9832.94,9323.82,9780.2,61892.78,593918718.08,9509.45,direct,
2020-05-21,9566.81,8811.54,9509.45,87116.97,798218781.95,9059.11,direct,
2020-05-22,9265.04,8936.82,9059.11,44400.9,405255700.32,9170.74,direct,
2020-05-23,9311.34,9101.08,9170.74,23636.66,217819517.42,9186.19,direct,
2020-05-24,9307.11,8707.14,9186.19,45736.61,412753415.47,8718.49,direct,
2020-05-25,8977.43,8639.46,8718.49,43894.32,386241517.98,8901.48,direct,
2020-05-26,9011.53,8705.66,8901.48,39855.17,352930782.24,8844.5,direct,
2020-05-27,9222.3,8820.55,8844.5,42022.36,381475134.6,9204.62,direct,
2020-05-28,9619.34,9112.3,9204.62,56625.62,530613444.11,9579.71,direct,
2020-05-29,9601.43,9344.8,9579.71,40183.32,379875666.16,9424.62,direct,
