date,high_price,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-03-01,22.89,21.7,21.88,1434134.22,32153652.95,22.51,direct,
2023-03-02,22.66,21.69,22.51,1416151.15,31155232.7,21.99,direct,
2023-03-03,22.01,20.4,21.99,2171732.67,45763308.65,21.42,direct,
2023-03-04,21.61,20.3,21.42,764652.14,16101235.47,20.99,direct,
2023-03-05,21.67,20.84,20.99,1581049.91,33561929.58,20.97,direct,
2023-03-06,21.16,20.48,20.97,1826091.23,37992113.26,20.62,direct,
2023-03-07,20.95,19.73,20.62,2629195.67,53461794.67,20.24,direct,
2023-03-08,20.38,18.14,20.24,4279252.34,81522052.95,18.42,direct,
2023-03-09,18.75,16.73,18.42,5920710.97,105502413.57,17.35,direct,
2023-03-10,18.41,16.02,17.35,7733108.26,133416568.37,18.24,direct,
2023-03-11,19.12,17.05,18.24,3772210.37,67762821.86,18.21,direct,
2023-03-12,20.63,17.88,18.21,4075182.7,77122006.66,20.32,direct,
2023-03-13,21.47,18.9,20.32,7637676.58,154278866.04,20.47,direct,
2023-03-14,22.19,19.85,20.47,6614947.51,139806672.07,20.93,direct,
2023-03-15,21.55,18.77,20.93,5266573.96,105480852.93,19.32,direct,
2023-03-16,19.95,18.97,19.32,3042224.88,59302142.14,19.72,direct,
2023-03-17,21.71,19.47,19.72,4509074.52,91865214.82,21.65,direct,
2023-03-18,22.92,21.12,21.65,4461864.14,98823416.73,21.26,direct,
2023-03-19,22.49,21.25,21.26,2423668.46,53174993.02,21.91,direct,
2023-03-20,23.97,21.45,21.91,6932667.31,158131836.5,22.2,direct,
2023-03-21,23.37,21.61,22.2,4607824.98,103902403.79,22.61,direct,
2023-03-22,23.12,21.01,22.61,5038675.7,111854504.66,21.46,direct,
2023-03-23,22.77,21.16,21.46,3432875.38,75357481.27,22.21,direct,
2023-03-24,22.3,20.29,22.21,3855459.85,81959121.54,20.68,direct,
2023-03-25,20.98,20.13,20.68,1062418.1,21914613.98,20.44,direct,
2023-03-26,21.16,20.32,20.44,869407.51,18161955.85,20.96,direct,
2023-03-27,20.99,19.4,20.96,1756147.27,35243953.94,19.9,direct,
2023-03-28,20.84,19.63,19.9,1803506.26,36431195.2,20.45,direct,
2023-03-29,21.54,20.44,20.45,1701115.2,35819029.71,21.1,direct,
2023-03-30,21.67,20.18,21.1,2366467.04,49065465.4,20.55,direct,
2023-03-31,21.47,20.07,20.55,1407617.34,29146172.7,21.18,direct,
2023-04-01,21.33,20.8,21.18,592761.54,12481791.86,21.09,direct,
2023-04-02,21.3,20.27,21.09,715367.03,14839982.78,20.53,direct,
2023-04-03,21.0,19.99,20.53,2415569.79,49295072.75,20.46,direct,
2023-04-04,21.25,20.31,20.46,1402483.73,29193722.07,20.92,direct,
2023-04-05,21.34,20.6,20.92,1714081.53,35988153.22,20.97,direct,
2023-04-06,20.99,20.47,20.97,1020641.45,21103649.71,20.62,direct,
2023-04-07,20.78,20.25,20.62,847016.28,17326089.33,20.45,direct,
2023-04-08,20.73,19.9,20.45,1044891.29,21184266.69,20.04,direct,
2023-04-09,20.44,19.91,20.04,538604.59,10861936.2,20.3,direct,
2023-04-10,20.96,20.1,20.3,1381946.13,28388587.74,20.92,direct,
2023-04-11,23.72,20.84,20.92,5608131.28,126780895.13,23.01,direct,
2023-04-12,24.46,22.35,23.01,4964985.22,117722766.49,23.82,direct,
2023-04-13,25.28,23.67,23.82,2798703.2,68585785.02,24.46,direct,
2023-04-14,25.51,23.77,24.46,3760093.83,92969648.16,24.74,direct,
2023-04-15,24.81,23.84,24.74,1355818.97,32891798.3,24.07,direct,
2023-04-16,25.49,23.86,24.07,1625974.06,40213832.09,25.37,direct,
2023-04-17,26.01,24.36,25.37,3259936.44,81961192.67,24.59,direct,
2023-04-18,25.45,24.0,24.59,2170782.91,53803144.87,24.83,direct,
2023-04-19,24.99,22.04,24.83,3985053.68,92776194.64,22.69,direct,
2023-04-20,23.16,21.58,22.69,3492673.13,78185771.48,22.2,direct,
2023-04-21,22.4,21.01,22.2,2615328.96,56782181.04,21.26,direct,
2023-04-22,21.98,21.06,21.26,950674.06,20527868.75,21.8,direct,
2023-04-23,22.24,20.98,21.8,1124806.65,24344602.93,21.47,direct,
2023-04-24,22.0,21.02,21.47,1394822.59,30024773.27,21.39,direct,
2023-04-25,21.95,20.75,21.39,1475990.8,31254976.32,21.94,direct,
2023-04-26,22.96,20.43,21.94,2877703.99,63029739.16,21.28,direct,
2023-04-27,22.54,21.2,21.28,2199862.29,48364472.73,22.33,direct,
2023-04-28,23.5,22.19,22.33,2361233.18,54054779.7,23.36,direct,
2023-04-29,23.82,22.95,23.36,1246144.51,29132997.69,23.2,direct,
2023-04-30,23.97,22.7,23.2,1372844.49,31981627.77,22.73,direct,
2023-05-01,22.88,21.59,22.73,1929816.28,42585381.91,21.97,direct,
2023-05-02,22.4,21.76,21.97,1310200.69,28972915.43,22.27,direct,
2023-05-03,22.3,21.25,22.27,1728560.62,37563066.09,22.24,direct,
2023-05-04,22.53,21.63,22.24,1275932.05,28165584.11,21.74,direct,
2023-05-05,23.07,21.66,21.74,2098591.65,46964188.54,22.85,direct,
2023-05-06,23.27,21.63,22.85,1641310.48,36824163.55,21.97,direct,
2023-05-07,22.8,21.69,21.97,1444135.14,32133191.65,21.7,direct,
2023-05-08,21.85,20.06,21.7,2754289.26,57885042.91,20.69,direct,
2023-05-09,21.06,20.4,20.69,1170238.48,24205886.44,20.69,direct,
2023-05-10,21.32,19.99,20.69,2069780.53,43034997.18,20.94,direct,
2023-05-11,20.95,19.8,20.94,1571469.04,31817109.46,20.2,direct,
2023-05-12,20.97,19.83,20.2,1961429.09,40004621.46,20.92,direct,
2023-05-13,21.29,20.79,20.92,896741.65,18828252.98,20.85,direct,
2023-05-14,21.26,20.64,20.85,820782.42,17197778.23,20.94,direct,
2023-05-15,21.52,20.62,20.94,1661879.18,35279719.01,20.99,direct,
2023-05-16,21.14,20.44,20.99,1562256.05,32457511.93,20.68,direct,
2023-05-17,21.19,20.43,20.68,1359624.9,28298787.6,21.06,direct,
2023-05-18,21.09,20.1,21.06,1563014.63,32272526.21,20.34,direct,
2023-05-19,20.58,20.24,20.34,598027.59,12203577.97,20.35,direct,
2023-05-20,20.36,20.12,20.35,589006.63,11923047.85,20.28,direct,
2023-05-21,20.39,19.44,20.28,875157.36,17454049.85,19.62,direct,
2023-05-22,20.02,19.31,19.62,1295260.86,25489243.68,19.53,direct,
2023-05-23,20.17,19.42,19.53,1164625.73,23202696.19,20.03,direct,
