high_price,low,open,volumefrom,volumeto,close,conversionType
9308.62,9072.62,9157.52,27365.39,251360754.52,9260.59,direct
9400.44,9223.46,9260.59,17135.45,159847329.63,9311.99,direct
9396.1,9108.22,9311.99,15670.3,144662760.99,9221.61,direct
9578.74,9141.0,9221.61,29435.09,275923701.7,9421.54,direct
9495.36,9196.64,9421.54,24971.55,233491267.4,9323.61,direct
9455.53,9269.82,9323.61,22338.76,208985449.5,9347.27,direct
9382.63,9114.14,9347.27,21322.07,196879610.6,9208.52,direct
9263.83,8682.74,9208.52,41674.91,371135404.96,8772.31,direct
8881.08,8732.62,8772.31,13145.33,116025279.26,8822.19,direct
9126.98,8767.94,8822.19,18134.09,162649216.87,9045.85,direct
9084.49,8619.78,9045.85,25750.4,226035620.33,8726.31,direct
8868.85,8576.09,8726.31,22305.54,194901130.1,8815.14,direct
8840.33,8721.68,8815.14,15828.57,138900524.48,8773.82,direct
8811.04,8584.92,8773.82,18999.7,164630654.03,8640.42,direct
8773.4,8393.29,8640.42,31281.14,267441968.16,8468.57,direct
8539.42,8442.03,8468.57,9355.13,79597461.02,8498.94,direct
8641.12,8411.3,8498.94,14296.75,122271717.68,8515.28,direct
8537.87,8075.63,8515.28,30048.32,250358969.38,8190.16,direct
8215.95,8016.54,8190.16,24402.6,198180594.35,8133.57,direct
8232.23,8047.73,8133.57,18105.11,147086043.41,8093.6,direct
8133.73,7437.33,8093.6,45760.44,354377783.29,7632.59,direct
7721.9,6815.03,7632.59,94065.31,680349857.19,7292.2,direct
7368.18,7119.41,7292.2,25474.86,185099411.4,7339.24,direct
7364.59,6888.89,7339.24,35108.24,249710266.27,6930.09,direct
7386.06,6560.13,6930.09,85742.76,596056755.83,7138.23,direct
7350.44,7042.5,7138.23,36264.64,259675008.66,7170.11,direct
7681.51,6873.1,7170.11,66406.48,485895588.26,7531.5,direct
7663.45,7388.79,7531.5,29886.7,225350756.08,7442.33,direct
7872.17,7425.49,7442.33,37243.54,285280637.6,7769.38,direct
7821.01,7487.1,7769.38,24778.5,189533166.63,7571.77,direct
7575.5,7261.95,7571.77,30676.77,226245528.68,7420.53,direct
7442.62,7193.09,7420.53,25163.31,184009273.35,7320.94,direct
7420.34,7260.93,7320.94,18521.73,135997337.7,7313.64,direct
7764.68,7110.76,7313.64,49046.2,360525572.37,7207.78,direct
7492.96,7175.85,7207.78,30054.36,220875659.79,7406.75,direct
7607.79,7323.86,7406.75,28169.83,209851296.57,7558.58,direct
7640.51,7503.1,7558.58,14093.87,106572219.77,7514.86,direct
7594.8,7414.51,7514.86,15949.09,120000308.79,7539.7,direct
7667.04,7296.42,7539.7,35089.72,262161330.42,7350.62,direct
7403.64,7176.42,7350.62,23348.59,170419385.84,7233.84,direct
7284.74,7167.13,7233.84,19799.94,143267855.45,7212.01,direct
7307.96,7105.35,7212.01,28003.83,201666958.32,7199.39,direct
7308.08,7199.39,7199.39,18725.31,135777984.61,7261.72,direct
7283.78,7033.14,7261.72,15624.21,111796861.42,7080.29,direct
7204.93,7030.37,7080.29,15972.7,113742866.17,7132.39,direct
7172.46,6869.19,7132.39,39619.58,278223344.11,6897.33,direct
6948.12,6585.46,6897.33,46023.51,310739632.42,6635.84,direct
7442.26,6450.69,6635.84,71573.09,491429584.47,7294.53,direct
7376.98,7057.66,7294.53,34799.1,249541907.16,7159.26,direct
7234.56,7094.06,7159.26,23556.25,168963964.55,7203.41,direct
7213.86,7132.82,7203.41,12101.12,86864836.52,7159.47,direct
7527.4,7143.17,7159.47,27325.26,200586646.53,7517.58,direct
7694.65,7275.28,7517.58,44770.93,336425000.06,7326.6,direct
7429.42,7175.5,7326.6,27770.75,203013413.87,7260.91,direct
7280.52,7132.3,7260.91,15012.21,108513256.34,7202.72,direct
7442.21,7167.44,7202.72,23254.3,169067214.27,7207.23,direct
7267.46,7061.61,7207.23,25489.38,183588691.22,7253.82,direct
7368.09,7253.61,7253.82,14542.71,106581355.23,7316.23,direct
7540.65,7295.33,7316.23,18230.94,135257936.53,7399.49,direct
7414.07,7224.79,7399.49,23030.92,168180498.67,7234.44,direct
7325.24,7141.94,7234.44,19424.26,140384995.27,7183.88,direct
7267.16,7171.82,7183.88,11872.0,85986188.11,7189.94,direct
7224.84,6945.83,7189.94,26531.32,187393954.35,6965.72,direct
