1611.88,1563.39,1572.88,700521.98,1109585843.08,1578.51
1620.26,1502.4,1578.51,1303264.24,2037801666.52,1518.33
1558.59,1515.32,1518.33,748066.97,1152727124.17,1530.87
1671.48,1528.31,1530.87,1195605.21,1925861769.02,1645.06
1665.9,1621.64,1645.06,372275.57,611265136.47,1627.42
1638.76,1565.49,1627.42,456328.92,735107790.65,1568.75
1608.74,1546.59,1568.75,873269.35,1378127340.69,1568.45
1579.41,1250.63,1568.45,2888023.55,4107836408.23,1334.22
1337.05,1081.28,1334.22,2781427.49,3360130314.53,1104.17
1347.76,1090.05,1104.17,1434018.02,1773564733.66,1296.01
1306.47,1200.46,1296.01,1116988.68,1409146347.24,1285.23
1289.04,1236.27,1285.23,338208.86,427130657.25,1254.95
1272.09,1200.31,1254.95,348001.46,429569400.6,1219.85
1288.74,1170.9,1219.85,697240.74,855858844.55,1241.39
1288.55,1232.81,1241.39,575085.3,723628030.12,1252.0
1266.73,1185.82,1252.0,607212.63,742289325.22,1215.24
1227.03,1181.92,1215.24,472447.65,568626212.85,1199.45
1231.6,1198.2,1199.45,363748.92,441193528.12,1210.98
1231.29,1196.77,1210.98,190518.55,230572688.07,1216.52
1225.0,1130.87,1216.52,419202.77,491708817.05,1140.47
1144.37,1079.94,1140.47,888334.79,990700383.48,1105.99
1140.64,1074.4,1105.99,742768.38,824490701.43,1137.75
1189.1,1126.34,1137.75,645984.08,750643596.67,1183.69
1215.66,1179.27,1183.69,456499.85,547060532.6,1202.96
1205.7,1170.43,1202.96,333765.53,396616881.99,1198.4
1233.38,1196.04,1198.4,270909.36,329190686.13,1204.94
1222.51,1188.99,1204.94,220645.91,267300240.57,1193.2
1198.53,1150.42,1193.2,450296.42,526904922.21,1167.3
1225.87,1157.85,1167.3,476198.98,573752908.47,1215.7
1309.06,1212.49,1215.7,701187.69,893091016.94,1294.92
1299.63,1263.39,1294.92,434534.77,556451968.76,1276.36
1297.11,1265.67,1276.36,418461.79,536043267.27,1295.61
1307.27,1236.97,1295.61,312767.84,397801316.77,1241.13
1286.38,1240.5,1241.13,246761.98,312004682.21,1279.89
1305.5,1247.32,1279.89,460629.87,588911337.44,1259.37
1274.29,1242.46,1259.37,394034.08,495067956.08,1271.38
1276.71,1217.1,1271.38,404153.25,500133032.01,1231.35
1291.22,1222.42,1231.35,476605.2,596851329.1,1280.28
1295.62,1256.15,1280.28,411785.24,525600440.57,1262.95
1282.69,1260.13,1262.95,203657.61,258333254.5,1266.34
1283.59,1257.77,1266.34,226937.44,288391972.72,1263.27
1278.74,1240.78,1263.27,425640.9,534501434.1,1275.37
1346.51,1256.36,1275.37,602423.88,786269925.3,1320.43
1350.33,1302.52,1320.43,701164.65,926900276.47,1307.5
1311.34,1260.13,1307.5,599551.83,768136956.69,1266.59
1279.37,1158.18,1266.59,878354.77,1065048194.1,1167.85
1189.53,1162.32,1167.85,383067.08,451167227.98,1187.11
1196.43,1172.99,1187.11,271189.77,321056937.95,1183.19
1194.49,1152.43,1183.19,497188.38,585378897.99,1167.68
1228.37,1163.29,1167.68,609536.88,735691592.34,1216.96
1220.46,1204.4,1216.96,427885.37,518496302.18,1213.84
1230.41,1183.8,1213.84,528262.6,637447979.92,1217.51
1228.48,1213.65,1217.51,470222.71,573753835.68,1219.97
1226.23,1214.24,1219.97,207378.91,252819741.33,1220.49
1223.72,1199.6,1220.49,328092.18,397681859.87,1218.3
1229.65,1212.89,1218.3,247202.68,301306741.79,1227.3
1232.63,1202.88,1227.3,390793.16,474996198.27,1211.07
1214.55,1182.48,1211.07,498553.01,596230640.27,1189.27
1205.31,1186.42,1189.27,366192.7,438196328.2,1200.06
1201.51,1182.25,1200.06,346823.33,413969580.77,1199.12
1207.02,1191.63,1199.12,222004.25,266114942.31,1195.0
1204.09,1190.52,1195.0,177271.0,212091101.2,1200.1
1222.25,1192.5,1200.1,327216.37,396971135.51,1213.98
1219.35,1205.08,1213.98,323873.94,392700511.47,1214.11
1267.02,1212.42,1214.11,660554.73,825157843.82,1256.42
1259.03,1242.51,1256.42,395462.48,494598797.89,1250.73
1275.0,1236.5,1250.73,531468.47,667398617.34,1268.71
1270.34,1261.21,1268.71,183266.85,231711574.14,1263.86
1292.01,1258.59,1263.86,308927.99,392241837.02,1288.62
1344.17,1285.01,1288.62,775693.69,1022290294.83,1320.11
1346.45,1316.81,1320.11,512653.94,682508755.42,1335.42
1393.42,1320.84,1335.42,558764.18,750208058.14,1388.95
1436.9,1367.5,1388.95,836206.52,1173416087.03,1416.05
1464.27,1401.0,1416.05,582315.27,827418332.41,1451.18
1600.82,1449.52,1451.18,651867.35,1000747558.84,1550.07
1566.18,1516.95,1550.07,393482.3,605354595.73,1552.71
1601.54,1522.89,1552.71,546773.59,854808666.21,1577.02
1606.64,1542.73,1577.02,445523.36,701015677.04,1565.15
1610.01,1502.35,1565.15,761780.77,1186461141.36,1512.28
1562.61,1509.86,1512.28,489405.87,750596721.84,1551.2
1662.05,1542.76,1551.2,661985.34,1052523938.77,1659.02
1678.11,1622.68,1659.02,551440.33,911165415.27,1626.68
1661.85,1608.38,1626.68,482545.84,787251000.78,1627.79
1646.52,1592.78,1627.79,536187.38,872732022.61,1626.47
1641.25,1537.38,1626.47,567029.94,911498894.01,1556.12
1638.48,1519.26,1556.12,724158.23,1132268819.24,1610.94
1632.15,1579.46,1610.94,491078.21,789028231.13,1601.35
1621.71,1553.36,1601.35,493189.56,781935987.02,1597.86
1606.66,1558.63,1597.86,275543.16,436021436.43,1572.46
1658.36,1566.99,1572.46,502089.89,812096302.45,1645.46
