9251.66,8851.1,9248.25,74147.8,669555436.99,9077.28
9271.62,8993.82,9077.28,57618.44,527488395.49,9232.19
9817.19,9172.28,9232.19,90631.98,857646889.15,9745.04
9785.15,9547.21,9746.26,68689.75,663887678.35,9699.61
9968.85,9687.09,9700.37,68875.75,679872376.4,9845.9
9936.96,9441.93,9846.44,62904.49,608650204.19,9644.92
9662.23,9202.13,9643.99,73842.44,692580062.51,9377.81
9472.09,9063.07,9377.08,72659.12,673924125.29,9196.13
9373.46,8987.27,9196.13,67939.11,625495066.08,9321.16
9393.95,9017.13,9321.52,67915.99,629850604.12,9032.22
9032.27,8363.5,9032.22,134727.27,1176888629.2,8421.0
8653.8,8225.97,8420.82,92805.87,783972252.35,8486.67
8773.96,8350.91,8488.07,61066.94,525395861.86,8709.46
8883.0,8312.72,8709.46,101370.46,874543293.99,8672.9
8848.69,8441.25,8672.88,84517.8,730739738.9,8480.16
8501.65,8119.17,8480.16,95203.5,789660713.22,8344.78
8476.45,8015.77,8342.69,74445.77,615539512.71,8071.04
8280.45,7940.35,8071.04,68665.67,558167598.76,8247.91
8397.27,8160.8,8247.91,45978.21,381458405.45,8249.24
8591.45,8181.46,8249.24,49694.23,418898289.02,8533.0
8585.85,8347.88,8533.22,54602.79,463653636.91,8419.65
8428.6,7962.43,8419.67,66032.52,543342369.36,7992.75
8031.63,7460.66,7992.75,120597.47,934151146.29,7505.77
7729.48,7283.77,7505.77,109709.83,826278113.25,7584.74
7652.37,7347.96,7584.78,84630.56,634474356.99,7475.36
7626.69,7314.71,7475.36,48994.09,368322782.27,7355.06
7420.07,7256.67,7355.06,46446.45,341348321.23,7362.23
7455.55,7092.91,7362.23,72505.5,526854342.95,7118.88
7533.03,7069.01,7118.88,86536.7,634849312.09,7474.75
7571.08,7295.78,7474.75,67797.62,505870974.98,7393.02
7608.87,7349.52,7393.02,60780.47,458223966.12,7502.15
7614.66,7370.27,7501.74,61082.25,458687659.47,7530.55
7697.34,7467.79,7530.55,47435.99,362414878.61,7643.26
7774.96,7606.76,7643.26,42988.84,332313005.46,7719.75
7760.73,7469.21,7719.73,56223.86,427448262.3,7503.2
7672.7,7394.97,7503.32,58424.84,440337235.4,7629.4
7701.35,7504.98,7629.4,51911.42,396116252.65,7661.79
7755.92,7651.13,7661.79,44318.41,342475552.09,7700.11
7709.61,7559.5,7700.4,40500.95,310119047.41,7627.52
7691.74,7495.72,7627.56,28511.04,218013881.09,7513.69
7514.04,6661.98,7513.76,127797.43,895514425.38,6773.72
6913.85,6652.89,6773.72,71169.64,482788065.15,6887.37
6888.33,6462.61,6887.43,75997.29,509372466.34,6556.94
6623.0,6140.63,6556.94,124304.17,797087281.14,6310.43
6719.44,6286.23,6310.43,95038.67,620296377.11,6643.26
6667.23,6380.69,6643.63,57731.42,379228601.07,6396.71
6569.15,6345.99,6396.71,35851.38,232802782.59,6503.1
6585.77,6446.38,6503.1,34359.95,224575526.46,6457.78
6802.03,6401.41,6457.78,65285.57,430241689.13,6714.82
6839.6,6672.2,6714.56,54949.84,370797057.99,6741.28
6817.9,6569.96,6741.28,59674.47,400530201.24,6761.27
6790.08,6687.66,6761.27,43765.89,295690715.67,6720.64
6731.51,5941.32,6720.64,137346.53,862826624.25,6051.47
6257.88,6033.2,6051.47,57011.61,350697378.49,6166.54
6254.02,5782.13,6166.36,110833.06,667479078.32,6157.78
6344.45,6095.25,6157.78,79086.4,492834172.99,6260.35
6286.36,6067.49,6260.4,62925.3,391396653.43,6088.39
6192.11,6021.69,6092.26,62639.82,383457137.86,6141.57
6172.23,5844.26,6141.57,63585.51,385907044.98,5871.28
6286.67,5813.02,5870.81,92884.98,554799001.51,6203.8
6503.33,6194.51,6203.81,65571.19,419284677.69,6385.38
6429.5,6262.72,6385.43,40809.54,259708490.63,6339.04
6673.71,5537.86,6342.69,73069.19,465915661.24,6615.66
6670.3,6473.48,6616.6,54662.02,356390898.98,6509.58
6777.97,6411.13,6508.43,62355.75,412202352.61,6590.06
6691.32,6448.23,6589.77,63771.67,421189063.01,6534.81
6633.44,6458.14,6534.81,47259.68,310759733.14,6602.02
6814.42,6518.23,6602.03,41785.1,277167900.06,6758.08
6782.85,6684.15,6758.08,39671.12,268455446.1,6707.38
6803.1,6625.58,6707.46,48761.43,328316145.78,6668.84
6683.61,6277.23,6668.84,72513.31,470432142.71,6306.85
6405.59,6293.68,6306.87,51054.67,327667754.35,6394.36
6394.93,6084.0,6394.36,65555.38,409078182.65,6253.6
6349.21,6131.54,6253.66,50964.41,319802271.97,6229.83
6332.46,6190.18,6229.61,27713.18,174416786.37,6268.75
6401.5,6245.75,6268.32,34225.9,218543291.78,6364.26
6761.84,6349.83,6364.26,74798.53,494264915.91,6740.55
7476.24,6677.56,6740.54,112707.21,799401451.35,7326.7
7590.65,7253.71,7326.76,105818.71,788460811.94,7383.39
7563.7,7289.9,7383.39,70179.39,522544440.45,7477.5
7676.55,7279.34,7477.1,80874.93,603034414.79,7333.93
7453.07,7220.37,7333.93,40295.77,297440355.21,7405.4
7569.28,7345.25,7405.4,47479.76,355565264.85,7398.64
7798.59,7376.66,7398.64,96722.04,745533303.01,7718.0
8485.71,7692.16,7718.0,143800.43,1166560702.13,8395.82
8481.11,8061.07,8395.81,89988.19,736530740.43,8170.23
8302.24,7862.67,8170.37,78993.93,643953970.45,7937.25
8278.01,7806.25,7937.1,80336.48,646256012.09,8182.89
8238.04,8070.04,8182.88,36136.12,295872316.42,8230.87
8291.55,8123.53,8230.82,34073.43,280233415.98,8216.78
8273.61,7867.44,8216.7,83918.76,681120739.99,8176.06
8176.27,7663.7,8176.08,97152.13,765186307.24,7735.3
